Date,Tone_score
2024.3.27,0.08431482
2024.3.28,0.09804879
2024.3.29,-0.005172014
2024.3.30,0.03378296
2024.3.31,0.07273793
2024.4.1,0.12033248
2024.4.2,0.096371606
2024.4.3,0.14814194
2024.4.4,0.17157066
2024.4.5,0.12778202
2024.4.6,0.09488973
2024.4.7,0.061997443
2024.4.8,0.087971926
2024.4.9,0.041742288
2024.4.10,0.07138583
2024.4.11,0.07313029
2024.4.12,0.048146676
2024.4.13,0.090265505
2024.4.14,0.13238433
2024.4.15,-0.013767581
2024.4.16,0.06175959
2024.4.17,0.034935165
2024.4.18,0.13395694
2024.4.19,0.08030284
2024.4.20,0.14358535
2024.4.21,0.20686787
2024.4.22,0.1382111
2024.4.23,0.06861939
2024.4.24,0.24775511
2024.4.25,0.13621019
2024.4.26,0.08222757
2024.4.27,0.090676546
2024.4.28,0.10937694
2024.4.29,0.05165849
2024.4.30,0.113430575
2024.5.1,0.09357114
2024.5.2,0.07371171
2024.5.3,0.08768641
2024.5.4,0.09275158
2024.5.5,0.09781674
2024.5.6,0.18022439
2024.5.7,0.14640455
2024.5.8,0.03153594
2024.5.9,0.09535415
2024.5.10,0.06821205
2024.5.11,0.07159433
2024.5.12,0.07646301
2024.5.13,0.08133169
2024.5.14,0.08620037
2024.5.15,-0.015919298
2024.5.16,0.047134083
2024.5.17,0.111568615
2024.5.18,0.09445395
2024.5.19,0.07733929
2024.5.20,0.06564203
2024.5.21,0.03798373
2024.5.22,0.043708313
2024.5.23,0.049449436
2024.5.24,0.116154574
2024.5.25,0.16207772
2024.5.26,0.20800087
2024.5.27,0.17005515
2024.5.28,0.12620549
2024.5.29,0.10757193
2024.5.30,0.08105793
2024.5.31,0.115628794
2024.6.1,0.09871678
2024.6.2,0.08180477
2024.6.3,0.094949104
2024.6.4,0.040538818
2024.6.5,0.120172404
2024.6.6,-0.005231601
2024.6.7,0.16145888
2024.6.8,0.05432239
2024.6.9,0.14261615
2024.6.10,0.15997835
2024.6.11,0.04324007
2024.6.12,0.07297417
2024.6.13,0.043704968
2024.6.14,0.12794836
2024.6.15,0.053605795
2024.6.16,0.0936456
2024.6.17,0.14162435
2024.6.18,0.097620584
2024.6.19,0.054111432
2024.6.20,0.055321038
2024.6.21,0.10620836
2024.6.22,0.0917339
2024.6.23,0.10587743
2024.6.24,0.12002096
2024.6.25,0.023255298
2024.6.26,0.13856919
2024.6.27,0.04934463
2024.6.28,0.072321124
2024.6.29,0.10664752
2024.6.30,0.08906613
2024.7.1,0.11288343
2024.7.2,0.087855525
2024.7.3,0.09263913
2024.7.4,0.1435341
2024.7.5,0.1702122
2024.7.6,0.099944085
2024.7.7,0.09845742
2024.7.8,0.09697075
2024.7.9,0.07571939
2024.7.10,0.08454347
2024.7.11,0.07536112
2024.7.12,0.101609804
2024.7.13,0.039025024
2024.7.14,0.10936624
2024.7.15,0.17970745
2024.7.16,0.114221066
2024.7.17,0.123257756
2024.7.18,0.04337852
2024.7.19,0.06775514
2024.7.20,0.07928665
2024.7.21,0.080940634
2024.7.22,0.09285455
2024.7.23,0.19613378
2024.7.24,0.12339542
2024.7.25,0.119073644
2024.7.26,0.07017126
2024.7.27,0.06434653
2024.7.28,0.058521796
2024.7.29,0.11003643
2024.7.30,0.08795042
2024.7.31,0.05312289
2024.8.1,0.026296299
2024.8.2,0.05506761
2024.8.3,0.09310731
2024.8.4,0.08789389
2024.8.5,0.053553216
2024.8.6,0.068047255
2024.8.7,0.06754525
2024.8.8,0.0981664
2024.8.9,0.049725264
2024.8.10,0.10973817
2024.8.11,0.12624647
2024.8.12,0.06312828
2024.8.13,0.09077775
2024.8.14,0.12814558
2024.8.15,0.1119988
2024.8.16,0.09802736
2024.8.17,0.1150967
2024.8.18,0.13216604
2024.8.19,0.14058559
2024.8.20,0.12495313
2024.8.21,0.042766303
2024.8.22,0.06926359
2024.8.23,0.06443111
2024.8.24,-0.008432522
2024.8.25,0.123758696
2024.8.26,0.10329775
2024.8.27,0.15929835
2024.8.28,0.09585017
2024.8.29,0.07478957
2024.8.30,0.083270974
2024.8.31,0.123297706
2024.9.1,0.16332445
2024.9.2,0.09855939
2024.9.3,0.14134069
2024.9.4,0.172668
2024.9.5,0.10467774
2024.9.6,0.1396766
2024.9.7,0.06251192
2024.9.8,0.078491166
2024.9.9,0.037122726
2024.9.10,0.18070693
2024.9.11,0.19833428
2024.9.12,0.04817264
2024.9.13,0.09618026
2024.9.14,0.105785504
2024.9.15,0.11539075
2024.9.16,0.12499599
2024.9.17,0.13460124
2024.9.18,0.04577496
2024.9.19,0.06260146
2024.9.20,0.12033632
2024.9.21,0.095064595
2024.9.22,0.12038457
2024.9.23,0.12556076
2024.9.24,0.09891181
2024.9.25,0.053085696
2024.9.26,0.146505
2024.9.27,0.055054866
2024.9.28,0.08827479
2024.9.29,0.12149472
2024.9.30,0.12379874
2024.10.1,0.051867675
2024.10.2,0.06847127
2024.10.3,0.15604556
2024.10.4,0.15533483
2024.10.5,0.09517467
2024.10.6,0.12571837
2024.10.7,0.16171215
2024.10.8,0.089005746
2024.10.9,0.12007306
2024.10.10,0.1094563
2024.10.11,0.12974596
2024.10.12,0.11371148
2024.10.13,0.09767699
2024.10.14,0.055238266
2024.10.15,0.026003217
2024.10.16,0.119262606
2024.10.17,0.03330009
2024.10.18,0.13745661
2024.10.19,0.17318958
2024.10.20,0.10686001
2024.10.21,0.090104215
2024.10.22,0.064128526
2024.10.23,0.14716092
2024.10.24,0.1085742
2024.10.25,0.105641335
2024.10.26,0.15343243
2024.10.27,0.02784709
2024.10.28,0.09610089
2024.10.29,0.1182517
2024.10.30,0.17085654
2024.10.31,0.035321265
2024.11.1,0.11237466
2024.11.2,0.11662947
2024.11.3,0.12088426
2024.11.4,0.07132507
2024.11.5,0.11300668
